,precision,recall,f1-score,support
No Sepsis,0.9819014589500991,0.9999854079316924,0.9908609289306147,1439138.0
Sepsis,0.9960652051714446,0.16694931222913134,0.2859678850964254,31842.0
accuracy,0.9819528477613564,0.9819528477613564,0.9819528477613564,0.9819528477613564
macro avg,0.9889833320607718,0.5834673600804119,0.63841440701352,1470980.0
weighted avg,0.982208058636825,0.9819528477613564,0.9756022549161698,1470980.0
