,precision,recall,f1-score,support
No Sepsis,0.981990197195942,0.08979333462114127,0.16454101365413473,1439138.0
Sepsis,0.022004128760587882,0.9255700018843037,0.042986318093211406,31842.0
accuracy,0.10788521937755782,0.10788521937755782,0.10788521937755782,0.10788521937755782
macro avg,0.5019971629782649,0.5076816682527225,0.10376366587367307,1470980.0
weighted avg,0.9612095772071465,0.10788521937755782,0.16190974428537994,1470980.0
