,precision,recall,f1-score,support
No Sepsis,0.9881154137734025,0.9998686713852319,0.9939572990757044,1439138.0
Sepsis,0.9871638141809291,0.45647258338044094,0.624275222265172,31842.0
accuracy,0.9881058885912792,0.9881058885912792,0.9881058885912792,0.9881058885912792
macro avg,0.9876396139771658,0.7281706273828364,0.8091162606704382,1470980.0
weighted avg,0.9880948146937254,0.9881058885912792,0.9859548675743918,1470980.0
