,precision,recall,f1-score,support
No Sepsis,0.9792670861337064,0.9773135029441234,0.978289319243724,1439138.0
Sepsis,0.0594589923083571,0.0648200489918975,0.06202389001577643,31842.0
accuracy,0.9575609457640485,0.9575609457640485,0.9575609457640485,0.9575609457640485
macro avg,0.5193630392210318,0.5210667759680104,0.5201566046297502,1470980.0
weighted avg,0.9593561904562758,0.9575609457640485,0.9584551108945444,1470980.0
