,precision,recall,f1-score,support
No Sepsis,0.9924977160702272,0.7903710415540414,0.8799766670831417,1439138.0
Sepsis,0.07153562778330035,0.7299792726587526,0.13030207051582107,31842.0
accuracy,0.7890637534160899,0.7890637534160899,0.7890637534160899,0.7890637534160899
macro avg,0.5320166719267637,0.760175157106397,0.5051393687994814,1470980.0
weighted avg,0.9725618401132241,0.7890637534160899,0.8637486160532863,1470980.0
