,precision,recall,f1-score,support
No Sepsis,0.9880166573129952,0.5590422878139553,0.714055652814481,1439138.0
Sepsis,0.033629620380000703,0.6935494001633064,0.06414872372099778,31842.0
accuracy,0.5619539354715903,0.5619539354715903,0.5619539354715903,0.5619539354715903
macro avg,0.5108231388464979,0.6262958439886308,0.3891021882677394,1470980.0
weighted avg,0.9673572384017792,0.5619539354715903,0.699987251859883,1470980.0
