,precision,recall,f1-score,support
No Sepsis,0.9863143492436677,0.9887912069586099,0.9875512250641072,1439138.0
Sepsis,0.428546124415474,0.3799070410150116,0.4027634426502414,31842.0
accuracy,0.975610817278277,0.975610817278277,0.975610817278277,0.975610817278277
macro avg,0.7074302368295708,0.6843491239868107,0.6951573338571743,1470980.0
weighted avg,0.974240455774702,0.975610817278277,0.9748924448171817,1470980.0
