,precision,recall,f1-score,support
No Sepsis,0.993141250146471,0.7950613492243274,0.8831306056591374,1439138.0
Sepsis,0.0750764406115249,0.7518371961560204,0.13652032835591088,31842.0
accuracy,0.794125684917538,0.794125684917538,0.794125684917538,0.794125684917538
macro avg,0.5341088453789979,0.7734492726901738,0.5098254670075242,1470980.0
weighted avg,0.973268090983728,0.794125684917538,0.8669688873149796,1470980.0
