,precision,recall,f1-score,support
No Sepsis,0.9783532067057336,1.0,0.9890581756478604,1439138.0
Sepsis,0.0,0.0,0.0,31842.0
accuracy,0.9783532067057336,0.9783532067057336,0.9783532067057336,0.9783532067057336
macro avg,0.4891766033528668,0.5,0.4945290878239302,1470980.0
weighted avg,0.9571749970713919,0.9783532067057336,0.9676482377636069,1470980.0
