,precision,recall,f1-score,support
No Sepsis,0.9919958667762007,0.7778163039263781,0.8719462679475221,1439138.0
Sepsis,0.06658629215647925,0.7163494755354564,0.12184666337255111,31842.0
accuracy,0.7764857441977457,0.7764857441977457,0.7764857441977457,0.7764857441977457
macro avg,0.5292910794663399,0.7470828897309172,0.4968964656600366,1470980.0
weighted avg,0.9719637170018726,0.7764857441977457,0.8557090168571766,1470980.0
